# BASE_200_PROBLEMES_PLANTES_FR_EN_IT_DE
# Encodage: UTF-8. Separateur de champs: |. Separateur de taxons et de synonymes: ;.
# Les identifiants correspondent aux 200 problemes de la liste initiale.
# Les noms scientifiques des plantes sont communs aux quatre langues.
# GENERAL: probleme possible sur les plantes vasculaires selon les conditions et le stade de developpement.
# LARGE: nombreux hotes; les taxons indiques sont des exemples non exhaustifs.
# CIBLE: hotes principaux ou exemples dans un groupe cible; liste non exhaustive.
# Un genre ou une famille ne signifie pas que toutes ses especes ou varietes sont sensibles.
# Tracheophyta = plantes vasculaires. Les symptomes et la sensibilite dependent de l'espece et du contexte.
# Taxonomie: 159 noms rapproches exactement de GBIF; Streptocarpus confirme par la classification GBIF de S. ionanthus.
# Six noms conserves sous leur nom scientifique, sans correspondance GBIF automatique definitive: Allium porrum;Cedrus;Goeppertia;Hosta;Prunus dulcis;Schlumbergera.
# Synonymes pour la recherche: Pisum sativum -> Lathyrus oleraceus; Eriobotrya japonica -> Rhaphiolepis bibas.
# Dernier champ, facultatif: les autres noms sous lesquels on cherche l'entree, toutes langues melees.
# La fiche du probleme les affiche sous le titre; le titre, lui, reste celui des quatre colonnes de noms.
# Un synonyme est un autre NOM de l'entree: nom courant, nom scientifique qui circule, abreviation.
# Jamais un symptome, un traitement ni un nom de plante: les taxons hotes s'en chargent deja.
# Un synonyme que le titre permet deja de trouver n'entre pas; un test le verifie.
# La verification GBIF porte sur les noms des plantes, pas sur les relations hote-probleme.
# 118: les perce-oreilles sont aussi des auxiliaires; entree reservee aux degats observes.
# 142: Juniperus est un hote alternant. 144: Epilobium et Abies sont des hotes alternants.
# 175: concerne les semis. 181: champignons superficiels sur miellat, sans parasitisme direct de la plante.
id|type|nom_fr|nom_en|nom_it|nom_de|portee|taxons_hotes_scientifiques|synonymes_recherche
120|RAVAGEUR|Nématodes foliaires|Foliar nematodes|Nematodi fogliari|Blattälchen|LARGE|Hosta;Chrysanthemum;Begonia;Fragaria|Aphelenchoides
121|RAVAGEUR|Nématodes des tiges et bulbes|Stem and bulb nematodes|Nematodi degli steli e dei bulbi|Stängel- und Zwiebelälchen|LARGE|Narcissus;Tulipa;Allium cepa;Allium sativum|Ditylenchus dipsaci;Anguillule
122|RAVAGEUR|Dégâts de campagnols|Vole damage|Danni da arvicole|Wühlmausschäden|LARGE|Tulipa;Crocus;Daucus carota;Malus domestica|Rat taupier;Campagnol terrestre;Arvicola;Microtus
123|RAVAGEUR|Dégâts de lapins et lièvres|Rabbit and hare damage|Danni da conigli e lepri|Kaninchen- und Hasenschäden|LARGE|Rosa;Lactuca sativa;Lathyrus oleraceus;Malus domestica
124|RAVAGEUR|Dégâts de chevreuils et autres cervidés|Deer damage|Danni da caprioli e altri cervidi|Schäden durch Rehe und andere Hirsche|LARGE|Rosa;Hosta;Tulipa;Malus domestica|Abroutissement;Cerfs;Gibier
125|RAVAGEUR|Dégâts d'oiseaux sur les cultures|Bird damage to crops|Danni degli uccelli alle colture|Vogelschäden an Kulturpflanzen|LARGE|Brassica oleracea;Lathyrus oleraceus;Prunus avium;Fragaria|Pigeons;Merles;Étourneaux;Becquetage
126|MALADIE|Oïdiums|Powdery mildews|Oidi|Echter Mehltau|LARGE|Rosa;Cucurbita pepo;Vitis vinifera;Begonia|Maladie du blanc;Blanc;Erysiphe;Podosphaera;Sphaerotheca
127|MALADIE|Mildiou de la tomate et de la pomme de terre|Tomato and potato late blight|Peronospora del pomodoro e della patata|Kraut-, Braun- und Knollenfäule|CIBLE|Solanum lycopersicum;Solanum tuberosum|Phytophthora infestans
128|MALADIE|Mildiou de la vigne|Grapevine downy mildew|Peronospora della vite|Falscher Mehltau der Weinrebe|CIBLE|Vitis vinifera|Plasmopara viticola
129|MALADIE|Mildiou des cucurbitacées|Cucurbit downy mildew|Peronospora delle cucurbitacee|Falscher Mehltau der Kürbisgewächse|CIBLE|Cucumis sativus;Cucurbita pepo;Cucumis melo|Pseudoperonospora cubensis
130|MALADIE|Mildiou du basilic|Basil downy mildew|Peronospora del basilico|Falscher Mehltau des Basilikums|CIBLE|Ocimum basilicum|Peronospora belbahrii
131|MALADIE|Mildiou de l'impatiens|Impatiens downy mildew|Peronospora dell'impatiens|Falscher Mehltau am Fleißigen Lieschen|CIBLE|Impatiens walleriana;Impatiens balsamina|Plasmopara obducens
132|MALADIE|Mildiou du rosier|Rose downy mildew|Peronospora della rosa|Falscher Mehltau der Rose|CIBLE|Rosa|Peronospora sparsa
133|MALADIE|Mildiou de la laitue|Lettuce downy mildew|Peronospora della lattuga|Falscher Mehltau des Salats|CIBLE|Lactuca sativa|Bremia lactucae
134|MALADIE|Mildiou de l'oignon|Onion downy mildew|Peronospora della cipolla|Falscher Mehltau der Zwiebel|CIBLE|Allium cepa;Allium fistulosum|Peronospora destructor
135|MALADIE|Pourriture grise à Botrytis cinerea|Botrytis cinerea grey mould|Muffa grigia da Botrytis cinerea|Grauschimmel durch Botrytis cinerea|LARGE|Cyclamen;Pelargonium;Fragaria;Vitis vinifera|Moisissure grise
136|MALADIE|Feu de la tulipe|Tulip fire|Fuoco del tulipano|Tulpenfeuer|CIBLE|Tulipa|Botrytis tulipae
137|MALADIE|Botrytis du lis|Lily Botrytis blight|Botrite del giglio|Botrytis-Blattfleckenkrankheit der Lilie|CIBLE|Lilium|Botrytis elliptica
138|MALADIE|Rouille du rosier|Rose rust|Ruggine della rosa|Rosenrost|CIBLE|Rosa|Phragmidium
139|MALADIE|Rouille du pélargonium|Pelargonium rust|Ruggine del pelargonio|Pelargonienrost|CIBLE|Pelargonium|Puccinia pelargonii-zonalis
140|MALADIE|Rouille de la rose trémière|Hollyhock rust|Ruggine della malvarosa|Malvenrost|CIBLE|Alcea rosea;Malva|Puccinia malvacearum;Rouille de la mauve
141|MALADIE|Rouille du poireau et de l'ail|Leek and garlic rust|Ruggine del porro e dell'aglio|Lauch- und Knoblauchrost|CIBLE|Allium porrum;Allium sativum;Allium schoenoprasum|Puccinia allii
142|MALADIE|Rouille grillagée du poirier|Pear rust|Ruggine del pero|Birnengitterrost|CIBLE|Pyrus communis;Juniperus|Gymnosporangium sabinae;Rouille du genévrier
143|MALADIE|Rouille de la menthe|Mint rust|Ruggine della menta|Minzenrost|CIBLE|Mentha|Puccinia menthae
144|MALADIE|Rouille du fuchsia|Fuchsia rust|Ruggine della fucsia|Fuchsienrost|CIBLE|Fuchsia;Epilobium;Abies|Pucciniastrum epilobii
145|MALADIE|Pourriture des fleurs du camélia|Camellia flower blight|Marciume dei fiori della camelia|Kamelienblütenfäule|CIBLE|Camellia|Ciborinia camelliae
146|MALADIE|Galles fongiques des azalées et exobasidiose|Azalea leaf gall|Galle fogliari dell'azalea o esobasidiosi|Ohrläppchenkrankheit der Azalee|CIBLE|Rhododendron|Exobasidium
147|MALADIE|Taches noires du rosier et marsonia|Rose black spot|Ticchiolatura della rosa|Sternrußtau der Rose|CIBLE|Rosa|Diplocarpon rosae;Marssonina;Maladie des taches noires
148|MALADIE|Tavelure du pommier|Apple scab|Ticchiolatura del melo|Apfelschorf|CIBLE|Malus|Venturia inaequalis
149|MALADIE|Tavelure du poirier|Pear scab|Ticchiolatura del pero|Birnenschorf|CIBLE|Pyrus|Venturia pirina
150|MALADIE|Alternariose de la tomate|Tomato early blight|Alternariosi del pomodoro|Dürrfleckenkrankheit der Tomate|CIBLE|Solanum lycopersicum;Solanum tuberosum|Alternaria solani
151|MALADIE|Alternariose de la carotte|Carrot Alternaria leaf blight|Alternariosi della carota|Alternaria-Blattbräune der Möhre|CIBLE|Daucus carota;Petroselinum crispum|Alternaria dauci
152|MALADIE|Septoriose de la tomate|Septoria leaf spot of tomato|Septoriosi del pomodoro|Septoria-Blattfleckenkrankheit der Tomate|CIBLE|Solanum lycopersicum|Septoria lycopersici
153|MALADIE|Septorioses du céleri et du persil|Septoria leaf spots of celery and parsley|Septoriosi del sedano e del prezzemolo|Septoria-Blattflecken an Sellerie und Petersilie|CIBLE|Apium graveolens;Petroselinum crispum|Septoria apiicola;Septoria petroselini
154|MALADIE|Cercosporioses|Cercospora leaf spots|Cercosporiosi|Cercospora-Blattfleckenkrankheiten|LARGE|Hydrangea;Beta vulgaris
155|MALADIE|Entomosporiose|Entomosporium leaf spot|Entomosporiosi|Entomosporium-Blattfleckenkrankheit|CIBLE|Photinia;Cydonia oblonga;Pyrus;Rhaphiolepis bibas|Diplocarpon mespili
156|MALADIE|Anthracnoses à Colletotrichum|Colletotrichum anthracnoses|Antracnosi da Colletotrichum|Colletotrichum-Anthraknosen|LARGE|Fragaria;Anthurium;Capsicum annuum;Cucumis sativus
157|MALADIE|Cladosporiose de la tomate|Tomato leaf mould|Cladosporiosi del pomodoro|Samtfleckenkrankheit der Tomate|CIBLE|Solanum lycopersicum|Passalora fulva;Fulvia fulva;Cladosporium fulvum
158|MALADIE|Maladie criblée fongique des Prunus|Fungal shot-hole disease of Prunus|Corineo delle drupacee|Pilzliche Schrotschusskrankheit an Prunus|CIBLE|Prunus|Wilsonomyces carpophilus;Coryneum;Stigmina;Criblure
159|MALADIE|Cloque du pêcher|Peach leaf curl|Bolla del pesco|Kräuselkrankheit des Pfirsichs|CIBLE|Prunus persica;Prunus dulcis|Taphrina deformans
160|MALADIE|Pochettes du prunier|Plum pockets|Bozzacchioni del susino|Narrentaschenkrankheit der Pflaume|CIBLE|Prunus domestica;Prunus spinosa|Taphrina pruni
161|MALADIE|Cylindrocladiose du buis|Box blight|Cilindrocladiosi del bosso|Buchsbaumtriebsterben|CIBLE|Buxus|Calonectria pseudonaviculata;Cylindrocladium buxicola;Dépérissement du buis
162|MALADIE|Volutellose du buis|Volutella blight of box|Volutellosi del bosso|Volutella-Zweigsterben am Buchsbaum|CIBLE|Buxus|Volutella buxi;Pseudonectria buxi
163|MALADIE|Flétrissement infectieux de la clématite|Fungal clematis wilt|Avvizzimento fungino della clematide|Pilzliche Clematiswelke|CIBLE|Clematis|Calophoma clematidina;Phoma clematidina
164|MALADIE|Brunissement infectieux des boutons du rhododendron|Rhododendron bud blast|Disseccamento infettivo dei boccioli del rododendro|Knospensterben des Rhododendrons|CIBLE|Rhododendron|Seifertia azaleae;Pycnostysanus azaleae
165|MALADIE|Hétérosporiose de l'iris|Iris leaf spot|Eterosporiosi dell'iris|Blattfleckenkrankheit der Schwertlilie|CIBLE|Iris|Mycosphaerella macrospora;Didymellina macrospora
166|MALADIE|Chancre du cyprès|Cypress canker|Cancro del cipresso|Zypressenkrebs|CIBLE|Cupressus;Chamaecyparis;Juniperus|Seiridium cardinale
167|MALADIE|Chancre européen des fruitiers|European fruit-tree canker|Cancro europeo dei fruttiferi|Obstbaumkrebs|CIBLE|Malus domestica;Pyrus communis|Neonectria ditissima;Nectria galligena
168|MALADIE|Maladie du corail|Coral spot|Malattia del corallo|Rotpustelkrankheit|LARGE|Acer;Ribes;Fagus|Nectria cinnabarina;Pustules rouges
169|MALADIE|Monilioses|Monilinia blossom blight and brown rot|Moniliosi|Monilia-Spitzendürre und Fruchtfäule|CIBLE|Malus domestica;Pyrus communis;Prunus domestica;Prunus avium
170|MALADIE|Verticilliose|Verticillium wilt|Verticilliosi|Verticillium-Welke|LARGE|Acer;Solanum melongena;Dahlia;Chrysanthemum
171|MALADIE|Fusariose vasculaire|Fusarium wilt|Fusariosi vascolare|Fusarium-Welke|LARGE|Solanum lycopersicum;Cyclamen;Dianthus caryophyllus;Callistephus chinensis|Fusarium oxysporum
172|MALADIE|Pourritures racinaires et du collet à Phytophthora|Phytophthora root and collar rots|Marciumi radicali e del colletto da Phytophthora|Phytophthora-Wurzel- und Wurzelhalsfäulen|LARGE|Rhododendron;Camellia;Chamaecyparis;Fragaria
173|MALADIE|Pourritures racinaires à Pythium et apparentés|Pythium and related root rots|Marciumi radicali da Pythium e generi affini|Wurzelfäulen durch Pythium und verwandte Gattungen|LARGE|Pelargonium;Cyclamen;Cucumis sativus;Solanum lycopersicum
174|MALADIE|Rhizoctone|Rhizoctonia diseases|Rizottoniosi|Rhizoctonia-Erkrankungen|LARGE|Solanum tuberosum;Lactuca sativa;Pelargonium
175|MALADIE|Fonte des semis|Damping-off|Moria delle piantine|Umfallkrankheit|GENERAL|Tracheophyta|Pythium des semis
176|MALADIE|Sclérotiniose|Sclerotinia white mould|Sclerotiniosi|Sclerotinia-Weißfäule|LARGE|Lactuca sativa;Phaseolus vulgaris;Helianthus annuus|Pourriture blanche à sclérotes
177|MALADIE|Pourriture blanche de l'ail et de l'oignon|Allium white rot|Marciume bianco dell'aglio e della cipolla|Weißfäule an Knoblauch und Zwiebel|CIBLE|Allium cepa;Allium sativum;Allium porrum|Stromatinia cepivora;Sclerotium cepivorum
178|MALADIE|Armillariose et pourridié à armillaire|Armillaria root rot|Marciume radicale da Armillaria|Hallimasch-Wurzelfäule|LARGE|Rosa;Ligustrum;Viburnum;Malus
179|MALADIE|Pourriture noire des racines à Berkeleyomyces|Berkeleyomyces black root rot|Marciume radicale nero da Berkeleyomyces|Schwarze Wurzelfäule durch Berkeleyomyces|LARGE|Viola;Petunia;Nicotiana|Thielaviopsis basicola;Chalara elegans
180|MALADIE|Fusariose des bulbes|Fusarium basal rot of bulbs|Fusariosi basale dei bulbi|Fusarium-Basalfäule der Zwiebeln|LARGE|Narcissus;Tulipa;Iris;Lilium
181|AFFECTION|Fumagine|Sooty mould|Fumaggine|Rußtau|LARGE|Citrus;Nerium oleander;Ficus;Olea europaea|Moisissure noire;Miellat noirci;Capnodium
182|MALADIE|Feu bactérien|Fire blight|Colpo di fuoco batterico|Feuerbrand|CIBLE|Malus;Pyrus;Cotoneaster;Pyracantha;Crataegus|Erwinia amylovora
183|MALADIE|Chancre bactérien des Prunus|Bacterial canker of Prunus|Cancro batterico delle drupacee|Bakterienbrand an Prunus|CIBLE|Prunus|Pseudomonas syringae;Gommose bactérienne
184|MALADIE|Taches et brûlures bactériennes à Xanthomonas|Xanthomonas bacterial leaf spots and blights|Maculature e disseccamenti batterici da Xanthomonas|Bakterielle Blattflecken und Blattnekrosen durch Xanthomonas|LARGE|Anthurium;Pelargonium;Hedera helix;Dieffenbachia
185|MALADIE|Taches bactériennes à Pseudomonas|Pseudomonas bacterial leaf spots|Maculature batteriche da Pseudomonas|Bakterielle Blattflecken durch Pseudomonas|LARGE|Monstera;Dracaena;Epipremnum
186|MALADIE|Pourritures molles bactériennes|Bacterial soft rots|Marciumi molli batterici|Bakterielle Weichfäulen|LARGE|Aglaonema;Dieffenbachia;Phalaenopsis;Solanum tuberosum|Pectobacterium;Erwinia carotovora;Dickeya
187|MALADIE|Galle du collet|Crown gall|Tumore batterico del colletto|Wurzelkropf|LARGE|Rosa;Malus;Prunus;Vitis vinifera|Agrobacterium tumefaciens;Rhizobium radiobacter
188|MALADIE|Galle feuillue à Rhodococcus fascians|Rhodococcus fascians leafy gall|Proliferazione dei germogli da Rhodococcus fascians|Sprossproliferation durch Rhodococcus fascians|LARGE|Dahlia;Pelargonium;Chrysanthemum;Fragaria
189|MALADIE|Hernie des crucifères|Clubroot|Ernia delle crucifere|Kohlhernie|CIBLE|Brassicaceae|Plasmodiophora brassicae
190|MALADIE|Gale commune de la pomme de terre|Potato common scab|Scabbia comune della patata|Gewöhnlicher Kartoffelschorf|CIBLE|Solanum tuberosum|Streptomyces scabiei
191|MALADIE|Mosaïque du concombre (CMV)|Cucumber mosaic (CMV)|Mosaico del cetriolo (CMV)|Gurkenmosaik (CMV)|LARGE|Cucumis sativus;Cucurbita pepo;Solanum lycopersicum;Petunia
192|MALADIE|Mosaïques du tabac et de la tomate (TMV/ToMV)|Tobacco and tomato mosaics (TMV/ToMV)|Mosaici del tabacco e del pomodoro (TMV/ToMV)|Tabak- und Tomatenmosaik (TMV/ToMV)|LARGE|Solanum lycopersicum;Nicotiana tabacum;Capsicum annuum;Petunia
193|MALADIE|Maladie bronzée de la tomate (TSWV)|Tomato spotted wilt (TSWV)|Bronzatura del pomodoro (TSWV)|Tomatenbronzefleckenkrankheit (TSWV)|LARGE|Solanum lycopersicum;Capsicum annuum;Chrysanthemum;Dahlia
194|MALADIE|Taches nécrotiques de l'impatiens (INSV)|Impatiens necrotic spot (INSV)|Maculatura necrotica dell'impatiens (INSV)|Nekrotische Fleckenkrankheit an Impatiens (INSV)|LARGE|Impatiens walleriana;Cyclamen;Begonia;Lactuca sativa
195|MALADIE|Mosaïque jaune de la courgette (ZYMV)|Zucchini yellow mosaic (ZYMV)|Mosaico giallo dello zucchino (ZYMV)|Zucchini-Gelbmosaik (ZYMV)|CIBLE|Cucurbita pepo;Cucumis sativus;Cucumis melo
196|MALADIE|Mosaïque commune du haricot (BCMV)|Bean common mosaic (BCMV)|Mosaico comune del fagiolo (BCMV)|Gewöhnliches Bohnenmosaik (BCMV)|CIBLE|Phaseolus vulgaris
197|MALADIE|Mosaïque du rosier|Rose mosaic|Mosaico della rosa|Rosenmosaik|CIBLE|Rosa|PNRSV;ApMV;Virus des taches annulaires nécrotiques
198|MALADIE|Viroses des orchidées (CymMV/ORSV)|Orchid virus diseases (CymMV/ORSV)|Virosi delle orchidee (CymMV/ORSV)|Viruskrankheiten der Orchideen (CymMV/ORSV)|LARGE|Phalaenopsis;Cymbidium;Cattleya;Dendrobium
199|MALADIE|Virus X de l'hosta (HVX)|Hosta virus X disease (HVX)|Virosi da Hosta virus X (HVX)|Hosta-Virus-X-Krankheit (HVX)|CIBLE|Hosta
200|MALADIE|Jaunisse de l'aster et phytoplasmoses apparentées|Aster yellows and related phytoplasma diseases|Giallume dell'astro e fitoplasmosi correlate|Asternvergilbung und verwandte Phytoplasmosen|LARGE|Callistephus chinensis;Echinacea purpurea;Daucus carota;Chrysanthemum|Candidatus Phytoplasma asteris;Phytoplasme
